inputs,label
"[0.73926833 0.63601989 2.373611   2.77488819 2.18574684 0.34620387
 0.06582686 1.25372081 0.33566322 0.44648464 1.62339996 3.12801031]",1
"[2.23719323 1.62399007 2.373611   1.67717024 2.04327523 0.
 1.00881076 1.39857075 0.         1.35405382 0.49393651 0.08206111]",1
"[0.         0.63601989 2.373611   4.18640373 0.63472339 0.94044634
 1.9492571  2.18772817 0.         1.73770243 1.86589586 0.66894988]",1
"[0.         0.63601989 2.373611   4.18640373 0.63472339 0.94044634
 1.9492571  2.18772817 0.         1.73770243 1.86589586 0.66894988]",1
"[3.50813171 0.         2.10037531 3.9515659  1.86467509 1.13557862
 2.28265896 2.65615497 0.95555457 1.73770243 0.74704763 0.66894988]",1
"[2.17641882 2.32526952 2.08952391 7.81943361 0.22252816 1.51688778
 3.2277768  3.59597996 0.         0.78214786 2.74294938 2.8718909 ]",1
"[0.67303077 1.47899238 2.22861331 2.84694449 3.70810622 1.2738482
 1.9492571  3.78405786 0.33566322 1.73770243 0.49393651 1.47592568]",1
"[0.68100285 5.73114158 7.96012336 1.90886094 0.27830412 2.81304141
 2.88699828 2.82245156 0.         1.73770243 7.95521987 7.57506215]",1
"[1.4979249  0.98797018 0.         4.45205844 0.14247162 0.34620387
 0.9429839  2.65229156 0.33566322 0.90756917 1.12946345 3.0459492 ]",1
"[0.73926833 0.         0.         1.41151554 1.55102346 1.2866502
 1.88343024 0.93400737 0.33566322 1.29121779 0.24249591 2.45906044]",1
"[0.73926833 0.         0.         1.41151554 1.55102346 1.2866502
 1.88343024 0.93400737 0.33566322 1.29121779 0.24249591 2.45906044]",1
"[2.76886338 0.63601989 0.27323569 1.17667771 0.32107175 1.48178248
 2.2168321  1.40243417 1.29121779 1.29121779 0.87635233 2.45906044]",1
"[2.91568714 2.96128941 4.46313491 5.04454542 2.408275   1.86309165
 3.16194995 2.34225916 0.33566322 0.33566322 1.11954942 0.25611942]",1
"[1.4122991  0.84297249 0.14499769 0.07205629 5.89385306 1.62005206
 1.88343024 2.53033706 0.         1.29121779 1.12946345 1.65208463]",1
"[0.05826548 5.09512169 5.58651236 0.86602725 2.46405096 3.15924528
 2.82117142 1.56873075 0.33566322 1.29121779 6.33181991 4.44705183]",1
"[2.23719323 0.98797018 0.         5.86357398 1.40855184 0.94044634
 0.94044634 3.58629892 0.         0.38364861 1.37195936 0.58688877]",1
"[2.23719323 0.98797018 0.         5.86357398 1.40855184 0.94044634
 0.94044634 3.58629892 0.         0.38364861 1.37195936 0.58688877]",1
"[1.27093847 1.62399007 0.27323569 5.62873615 0.17860013 1.13557862
 1.2738482  4.05472572 0.95555457 0.38364861 0.25311112 0.58688877]",1
